cloud,runtime,memory_mb,region,total_ms,measured_ms,latency_ms,name
google,go,128,europe-west1,1328,1198,130,google-go-128
google,go,128,europe-west1,1238,1096,142,google-go-128
google,go,128,europe-west1,941,808,133,google-go-128
google,go,128,europe-west1,1035,901,134,google-go-128
google,go,128,europe-west1,1037,901,136,google-go-128
google,go,128,europe-west1,933,847,86,google-go-128
google,go,128,europe-west1,1028,956,72,google-go-128
google,go,128,europe-west1,1125,1000,125,google-go-128
google,go,128,europe-west1,1120,1000,120,google-go-128
google,go,128,europe-west1,1021,904,117,google-go-128
google,go,128,europe-west1,1121,908,213,google-go-128
google,go,128,europe-west1,922,842,80,google-go-128
google,go,128,europe-west1,1121,993,128,google-go-128
google,go,128,europe-west1,1015,897,118,google-go-128
google,go,128,europe-west1,1124,1002,122,google-go-128
google,go,128,europe-west1,920,810,110,google-go-128
google,go,128,europe-west1,1365,1207,158,google-go-128
google,go,128,europe-west1,1114,1003,111,google-go-128
google,go,128,europe-west1,1107,1001,106,google-go-128
google,go,128,europe-west1,1109,1005,104,google-go-128
google,go,128,europe-west1,1104,1032,72,google-go-128
google,go,128,europe-west1,812,749,63,google-go-128
google,go,128,europe-west1,1001,896,105,google-go-128
google,go,128,europe-west1,1007,907,100,google-go-128
google,go,128,europe-west1,1001,927,74,google-go-128
google,go,128,europe-west1,1115,1008,107,google-go-128
google,go,128,europe-west1,1091,996,95,google-go-128
google,go,128,europe-west1,993,921,72,google-go-128
google,go,128,europe-west1,992,894,98,google-go-128
google,go,128,europe-west1,993,840,153,google-go-128
google,go,128,europe-west1,988,902,86,google-go-128
google,go,128,europe-west1,1185,997,188,google-go-128
google,go,128,europe-west1,1339,1209,130,google-go-128
google,go,128,europe-west1,1083,1002,81,google-go-128
google,go,128,europe-west1,1178,1096,82,google-go-128
google,go,128,europe-west1,1424,1000,424,google-go-128
google,go,128,europe-west1,1075,995,80,google-go-128
google,go,128,europe-west1,1321,1192,129,google-go-128
google,go,128,europe-west1,984,808,176,google-go-128
google,go,128,europe-west1,1083,1006,77,google-go-128
google,go,128,europe-west1,980,905,75,google-go-128
google,go,128,europe-west1,1082,908,174,google-go-128
google,go,128,europe-west1,1075,1004,71,google-go-128
google,go,128,europe-west1,970,892,78,google-go-128
google,go,128,europe-west1,1267,1003,264,google-go-128
google,go,128,europe-west1,1161,993,168,google-go-128
google,go,128,europe-west1,1069,990,79,google-go-128
google,go,128,europe-west1,1161,997,164,google-go-128
google,go,128,europe-west1,1272,1107,165,google-go-128
google,go,128,europe-west1,1064,905,159,google-go-128
google,go,128,europe-west1,1406,1206,200,google-go-128
google,go,128,europe-west1,1158,993,165,google-go-128
google,go,128,europe-west1,1056,963,93,google-go-128
google,go,128,europe-west1,1162,1004,158,google-go-128
google,go,128,europe-west1,1058,898,160,google-go-128
google,go,128,europe-west1,962,897,65,google-go-128
google,go,128,europe-west1,1057,896,161,google-go-128
google,go,128,europe-west1,1145,985,160,google-go-128
google,go,128,europe-west1,1149,1079,70,google-go-128
google,go,128,europe-west1,1153,1008,145,google-go-128
google,go,128,europe-west1,1250,900,350,google-go-128
google,go,128,europe-west1,1119,906,213,google-go-128
google,go,128,europe-west1,1024,946,78,google-go-128
google,go,128,europe-west1,1128,907,221,google-go-128
google,go,128,europe-west1,1229,1105,124,google-go-128
google,go,128,europe-west1,1024,897,127,google-go-128
google,go,128,europe-west1,1122,1050,72,google-go-128
google,go,128,europe-west1,1023,906,117,google-go-128
google,go,128,europe-west1,915,839,76,google-go-128
google,go,128,europe-west1,924,805,119,google-go-128
google,go,128,europe-west1,1013,894,119,google-go-128
google,go,128,europe-west1,1018,901,117,google-go-128
google,go,128,europe-west1,1022,803,219,google-go-128
google,go,128,europe-west1,1016,902,114,google-go-128
google,go,128,europe-west1,1107,1000,107,google-go-128
google,go,128,europe-west1,1109,990,119,google-go-128
google,go,128,europe-west1,1018,910,108,google-go-128
google,go,128,europe-west1,1262,844,418,google-go-128
google,go,128,europe-west1,1110,994,116,google-go-128
google,go,128,europe-west1,1101,950,151,google-go-128
google,go,128,europe-west1,1106,1041,65,google-go-128
google,go,128,europe-west1,1444,1287,157,google-go-128
google,go,128,europe-west1,1452,1209,243,google-go-128
google,go,128,europe-west1,994,927,67,google-go-128
google,go,128,europe-west1,1092,1002,90,google-go-128
google,go,128,europe-west1,1092,1004,88,google-go-128
google,go,128,europe-west1,996,908,88,google-go-128
google,go,128,europe-west1,1093,1005,88,google-go-128
google,go,128,europe-west1,1087,1024,63,google-go-128
google,go,128,europe-west1,984,904,80,google-go-128
google,go,128,europe-west1,1181,1098,83,google-go-128
